Light -8 13  Static
Light -7 12  Static
Light -13 6  Static
Door -7 3 Up Door
Wall 8 5 Up Wall
Wall 15 18 Up Wall
Wall 22 11 Up Wall
Wall 14 19 Up Wall
Wall -9 -22 Up Wall
Wall -6 2 Left Wall
Wall -10 14 Left Wall
Wall -7 1 Left Wall
Wall -16 8 Left Wall
Wall 2 -6 Left Wall
Wall -7 17 Left Wall
Wall 22 17 Left Wall
Wall 0 7 Left Wall
Wall -9 -16 Left Wall
Wall -7 -2 Left Wall
Wall 5 2 Left Wall
Wall 24 15 Left Wall
Wall -7 -18 Left Wall
Wall -4 -21 Left Wall
Wall 14 9 Left Wall
Wall -1 -8 Left Wall
Wall -6 8 Up Wall
Wall -9 5 Up Wall
Wall -12 6 Up Wall
Light 23 13  Static
Light -4 8  Static
Wall 5 9 Up Wall
Wall 9 5 Up Wall
Wall 23 11 Up Wall
Wall 18 14 Up Wall
Wall 14 18 Up Wall
Wall 15 19 Up Wall
Wall -10 -22 Up Wall
Wall -7 16 Left Wall
Wall -7 0 Left Wall
Wall 2 -5 Left Wall
Wall 0 6 Left Wall
Wall -7 -1 Left Wall
Wall 5 3 Left Wall
Wall 14 8 Left Wall
Wall 22 16 Left Wall
Wall -1 -7 Left Wall
Wall 21 19 Left Wall
Wall 24 14 Left Wall
Wall -4 -22 Left Wall
Wall -2 -24 Left Wall
Wall -5 8 Up Wall
Wall -10 5 Up Wall
Wall -4 15 Up Wall
Light -5 12  Static
Wall 10 5 Up Wall
Wall 13 18 Up Wall
Wall 20 11 Up Wall
Wall -11 -22 Up Wall
Wall -8 -25 Up Wall
Wall -5 1 Left Wall
Wall -10 12 Left Wall
Wall -6 0 Left Wall
Wall 2 -8 Left Wall
Wall -7 3 Left Wall
Wall -6 16 Left Wall
Wall -1 -6 Left Wall
Wall 0 5 Left Wall
Wall 22 19 Left Wall
Wall -6 -1 Left Wall
Wall 21 16 Left Wall
Wall -16 -11 Left Wall
Wall 16 21 Left Wall
Wall -15 -12 Left Wall
Wall 6 3 Left Wall
Wall 24 13 Left Wall
Wall -4 -23 Left Wall
Wall -7 -20 Left Wall
Wall -10 6 Up Wall
Wall -8 8 Up Wall
Wall -11 5 Up Wall
Door 5 2 Up Door
Door -5 -20 Up Door
Door -4 5 Up Door
Door -12 -24 Left Door
Wall 17 15 Up Wall
Wall 21 11 Up Wall
Wall -12 -22 Up Wall
Wall -1 4 Left Wall
Wall -5 0 Left Wall
