Light 1 -12  Static
Light 11 -2  Static
Door -19 7 Up Door
Door 18 -8 Up Door
Wall -1 -14 Up Wall
Wall 11 -13 Left Wall
Wall -21 3 Left Wall
Wall -9 15 Left Wall
Wall -10 14 Left Wall
Wall 13 -11 Left Wall
Wall 3 -5 Left Wall
Wall -17 7 Left Wall
Wall 19 -5 Left Wall
Wall -25 15 Left Wall
Wall 18 -6 Left Wall
Wall -2 -7 Left Wall
Wall 5 -9 Up Wall
Wall -11 7 Up Wall
Wall 13 -1 Up Wall
Wall -16 2 Up Wall
Wall 0 -14 Up Wall
Wall -20 14 Up Wall
Wall -19 15 Up Wall
Wall -10 20 Up Wall
Wall -15 19 Up Wall
Door 11 -5 Left Door
Light -11 17  Static
Light -10 18  Static
Light 14 -22  Static
Wall 12 0 Up Wall
Wall 20 -19 Left Wall
Wall -21 2 Left Wall
Wall 19 -6 Left Wall
Wall -25 14 Left Wall
Wall -10 15 Left Wall
Wall -9 14 Left Wall
Wall 18 -21 Left Wall
Wall 13 -12 Left Wall
Wall 3 -6 Left Wall
Wall -2 -8 Left Wall
Wall 4 -9 Up Wall
Wall -15 2 Up Wall
Wall 1 -14 Up Wall
Wall -12 7 Up Wall
Wall -16 19 Up Wall
Wall -20 15 Up Wall
Wall -17 12 Up Wall
Wall -9 20 Up Wall
Wall -13 16 Up Wall
Light -9 0  Static
Wall 11 -15 Left Wall
Wall -22 16 Left Wall
Wall -25 13 Left Wall
Wall 19 -7 Left Wall
Wall 18 -8 Left Wall
Wall 20 -18 Left Wall
Wall -16 10 Left Wall
Wall 3 -7 Left Wall
Wall -12 14 Left Wall
Wall -10 12 Left Wall
Wall -9 13 Left Wall
Wall -2 -5 Left Wall
Wall -17 15 Up Wall
Wall -18 14 Up Wall
Wall 17 -15 Up Wall
Wall -13 19 Up Wall
Wall -16 16 Up Wall
Wall -14 2 Up Wall
Wall 12 -4 Up Wall
Wall 2 -14 Up Wall
Wall 15 -1 Up Wall
Light -17 9  Static
Light 5 -13  Static
Door -10 15 Up Door
Wall -16 11 Left Wall
Wall -20 7 Left Wall
Wall -25 12 Left Wall
Wall 18 -7 Left Wall
Wall -9 12 Left Wall
Wall -10 13 Left Wall
Wall 3 -8 Left Wall
Wall 13 -10 Left Wall
Wall 20 -17 Left Wall
Wall -2 -6 Left Wall
Wall -17 14 Up Wall
Wall 17 -16 Up Wall
Wall -18 15 Up Wall
Wall -15 16 Up Wall
Wall -14 19 Up Wall
Wall 16 -15 Up Wall
Wall -13 2 Up Wall
Wall -10 7 Up Wall
Wall 14 -1 Up Wall
Wall 3 -14 Up Wall
Wall 12 -3 Up Wall
Wall 11 -6 Up Wall
Door -9 4 Left Door
Door 13 -2 Left Door
Light -2 -9  Static
Door -15 15 Up Door
Wall -2 -9 Up Wall
Wall 9 0 Up Wall
Wall -2 2 Left Wall
Wall 2 -2 Left Wall
Wall 3 -1 Left Wall
Wall -13 15 Left Wall
Wall 10 -10 Left Wall
Wall -11 9 Left Wall
Wall -4 16 Left Wall
Wall 18 -2 Left Wall
Wall -8 4 Left Wall
Wall -10 10 Left Wall
Wall -9 11 Left Wall
Wall 22 -22 Left Wall
Wall 11 -9 Left Wall
Wall 3 0 Left Wall
Wall -7 15 Up Wall
Wall -12 2 Up Wall
Wall -25 17 Up Wall
Wall 10 -4 Up Wall
Wall 4 -14 Up Wall
Wall 13 -5 Up Wall
Wall -11 19 Up Wall
Wall -17 9 Up Wall
Wall -15 7 Up Wall
Wall 11 -3 Up Wall
Wall 12 -6 Up Wall
Wall 1 -9 Up Wall
Door -22 14 Left Door
Light -19 13  Static
Light -18 14  Static
Door 11 -12 Up Door
Wall -1 -9 Up Wall
Wall 8 0 Up Wall
Wall -8 5 Left Wall
Wall -1 2 Left Wall
Wall -2 3 Left Wall
Wall -21 6 Left Wall
Wall -4 17 Left Wall
Wall -17 18 Left Wall
Wall -10 11 Left Wall
Wall 17 -20 Left Wall
Wall 12 -15 Left Wall
Wall -9 10 Left Wall
Wall 10 -9 Left Wall
Wall 3 1 Left Wall
Wall -2 -4 Left Wall
Wall -16 7 Up Wall
Wall -11 2 Up Wall
Wall 5 -14 Up Wall
Wall 12 -5 Up Wall
Wall 0 -9 Up Wall
Wall 11 -4 Up Wall
Wall -12 19 Up Wall
Wall -8 15 Up Wall
Wall 10 -3 Up Wall
Door -17 10 Left Door
Light 13 -2  Static
Door -9 11 Up Door
Wall 11 0 Up Wall
Wall -4 18 Left Wall
Wall -21 5 Left Wall
Wall 22 -8 Left Wall
Wall 19 -3 Left Wall
Wall -8 6 Left Wall
Wall -17 17 Left Wall
Wall 10 -12 Left Wall
Wall 3 -3 Left Wall
Wall 12 -14 Left Wall
Wall -9 9 Left Wall
Wall 14 -16 Left Wall
Wall -1 -2 Left Wall
Wall -2 -1 Left Wall
Wall 20 -16 Up Wall
Wall -5 15 Up Wall
Wall 3 -9 Up Wall
Wall 7 -13 Up Wall
Wall -21 15 Up Wall
Wall 14 -22 Up Wall
Wall -24 12 Up Wall
Wall -12 16 Up Wall
Wall -22 14 Up Wall
Wall 21 -15 Up Wall
Wall -13 7 Up Wall
Wall -10 2 Up Wall
Wall 6 -14 Up Wall
Wall 15 -5 Up Wall
Wall 9 -3 Up Wall
Door -9 17 Left Door
Door 12 -6 Left Door
Light -16 2  Static
Light 1 -13  Static
Light 17 -13  Static
Light 18 -16  Static
Wall -9 -3 Up Wall
Wall 10 0 Up Wall
Wall 10 -11 Left Wall
Wall -9 8 Left Wall
Wall -2 1 Left Wall
Wall -17 16 Left Wall
Wall -16 15 Left Wall
Wall 12 -13 Left Wall
Wall -21 4 Left Wall
Wall -4 19 Left Wall
Wall 19 -4 Left Wall
Wall -8 7 Left Wall
Wall 3 -4 Left Wall
Wall -2 -2 Left Wall
Wall 2 2 Left Wall
Wall 7 -14 Up Wall
Wall -14 7 Up Wall
Wall -6 15 Up Wall
Wall 6 -13 Up Wall
Wall 14 -5 Up Wall
Wall 8 -3 Up Wall
Wall -22 15 Up Wall
